Designator,Footprint,Quantity,Value,LCSC Part #
"0.1uF_2, 0.1uF",Capacitor_0.1uF,2,0.1uF,
"0.33uF_2, 0.33uF, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C4, C6, C7, C8, C9",Capacitor_0.33uF,17,0.33uF,
100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100k,
10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10k,
10uF,Capacitor_0.1uF,1,10uF,
"39k, R10, R11, R12, R13, R14, R15, R16, R17, R18, R3, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,16,39k,
BSS138,BSS138,1,~,
D2,SML-E12P8WT86,1,LED_Small,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,UARTtoMain,
J3,XH Connector 20 pin,1,LineSensor0~20,
J4,XH Connector 21~40 pin,1,LineSensor21~38,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330,
SW1,Tact Switch,1,SW_Push,
SW2,SlideSwitch,1,SW_DPDT_x2,
"U1, U10, U11, U12, U13, U14, U15, U16, U17, U2, U3, U4, U5, U6, U7, U8",TSSP58038_copy,16,~,
U9,Arduino Mega 2560 Pro Mini,1,~,
Vin,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,VCC,
