Designator,Mid X,Mid Y,Rotation,Layer
0.1uF_2,201.0,-91.0,90.0,bottom
0.1uF,203.5,-91.0,90.0,bottom
0.33uF_2,218.6,-92.4,0.0,bottom
0.33uF,200.0,-69.0,0.0,bottom
100k,216.6,-88.2,0.0,bottom
10k,206.55,-92.35,90.0,bottom
10uF,198.5,-91.0,90.0,bottom
39k,200.0,-66.5,180.0,bottom
BSS138,181.19,-93.17,270.0,bottom
C10,228.999999,-120.499999,225.0,bottom
C11,211.75,-128.75,157.5,bottom
C12,200.0,-131.0,180.0,bottom
C13,188.25,-128.75,202.5,bottom
C14,178.25,-121.999999,225.0,bottom
C15,165.999999,-107.5,337.5,bottom
C16,169.25,-98.0,270.0,bottom
C17,170.5,-90.75,292.5,bottom
C18,174.5,-81.999999,315.0,bottom
C19,188.2,-71.3,337.5,bottom
C4,211.749999,-71.499999,22.5,bottom
C6,221.616116,-78.116116,45.0,bottom
C7,229.25,-89.749999,67.5,bottom
C8,212.8,-92.2,90.0,bottom
C9,229.499999,-109.749999,112.5,bottom
D2,218.75,-124.5,0.0,top
J2,182.575,-76.25,270.0,top
J3,194.925,-110.6,180.0,bottom
J4,194.825,-104.1,180.0,bottom
R10,212.730019,-130.958024,337.5,bottom
R11,200.19,-133.5,0.0,bottom
R12,187.230019,-131.041976,22.5,bottom
R13,176.5,-123.75,45.0,bottom
R14,169.041976,-112.730019,67.5,bottom
R15,166.5,-100.0,90.0,bottom
R16,169.0,-87.25,112.5,bottom
R17,174.5,-78.25,135.0,bottom
R18,188.05,-68.75,157.5,bottom
R3,212.75,-69.0,202.5,bottom
R4,218.6,-127.5,225.0,bottom
R5,223.444077,-76.444077,225.0,bottom
R6,231.0,-87.25,247.5,bottom
R7,210.0,-92.35,270.0,bottom
R8,231.041976,-112.769981,292.5,bottom
R9,223.8,-123.6,135.0,bottom
SW1,231.15,-100.05,90.0,top
SW2,218.75,-121.5,0.0,top
U1,200.0,-62.6,0.0,top
U10,199.96,-137.4,180.0,top
U11,185.7,-134.6,157.5,top
U12,173.567553,-126.590345,135.0,top
U13,165.396492,-114.397761,112.5,top
U14,162.5,-100.0,90.0,top
U15,165.4,-85.7,67.5,top
U16,173.5,-73.5,45.0,top
U17,185.708931,-65.440524,22.5,top
U2,214.3,-65.4,337.5,top
U3,226.340345,-73.567552,315.0,top
U4,234.7,-85.8,292.5,top
U5,237.4,-99.96,270.0,top
U6,234.6,-114.3,247.5,top
U7,226.5,-126.5,225.0,top
U8,214.3,-134.6,202.5,top
U9,200.14,-99.86,0.0,top
Vin,193.5,-93.15,90.0,bottom
