Designator,Footprint,Quantity,Value,LCSC Part #
"0.1uF_3, 0.1uF_2",Capacitor_0.1uF,2,C,
0.1uF,Capacitor_0.1uF,1,0.1uF,
100,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100,
"10k_2, 10k, 1k_2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,R,
10uF,Capacitor_0.1uF,1,10uF,
"1k, R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,2.2k,
330,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330,
BNO055,AE-BNO055-BO,1,AE-BNO055-BO,
CAN,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,CAN,
D1,SML-E12P8WT86,1,LED_Small,
I2C*3,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Unit V(?),
ILI9341,JST_XH_B14B-XH-A_1x14_P2.50mm_Vertical,1,ILI9341,
J1,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Arduino MEGA 2560 PRO MINI,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Seeed Xiao_UI,
J6,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,HC-SR04,
J9,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Pixy 2,
MD 1~4,JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical,1,MotorDriverLeft,
MD 5~8,JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical,1,MotorDriverRight,
SPI,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,1,SPI,
SW1,SlideSwitch,1,SW_DPDT_x2,
Teensy4.1,Teensy 4.1,1,~,
Touch Sensor_2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Touch SensorBack,
Touch Sensor,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Touch SensorFront,
Vin,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,3.3Vin,
"sw0, sw1",TactSwitch_2legs,2,SW_Push,
