Designator,Mid X,Mid Y,Rotation,Layer
0.1uF_3,176.0,-125.0,0.0,top
0.1uF_2,181.0,-131.0,0.0,top
0.1uF,222.5,-100.0,90.0,bottom
100,216.0,-126.25,90.0,bottom
10k_2,165.5,-100.0,270.0,top
10k,162.0,-100.0,270.0,top
10uF,219.0,-100.0,90.0,bottom
1k_2,186.0,-133.75,0.0,top
1k,180.8,-100.0,270.0,bottom
330,229.0,-114.0,270.0,bottom
BNO055,200.09,-99.91,270.0,bottom
CAN,220.0,-84.25,270.0,top
D1,224.5,-120.0,270.0,top
I2C*3,177.0,-112.475,180.0,top
ILI9341,200.0,-117.775,0.0,bottom
J1,191.5,-85.025,270.0,top
J3,215.0,-112.5,180.0,top
J6,204.0,-112.5,180.0,top
J9,190.5,-112.475,180.0,top
MD 1~4,200.0,-124.775,0.0,bottom
MD 5~8,200.0,-76.775,0.0,bottom
R3,177.5,-100.0,270.0,bottom
R4,174.25,-100.0,270.0,bottom
R5,171.0,-100.0,270.0,bottom
SPI,207.25,-85.75,0.0,top
SW1,221.75,-120.0,270.0,top
Teensy4.1,199.96,-100.13,270.0,top
Touch Sensor_2,200.25,-131.775,0.0,bottom
Touch Sensor,200.0,-69.775,0.0,bottom
Vin,231.725,-97.75,90.0,bottom
sw0,174.15,-122.0,0.0,top
sw1,178.9972,-128.0,0.0,top
