Designator,Mid X,Mid Y,Rotation,Layer
75R,163.91676,-20.00776,90.0,bottom
J1,163.89176,-96.65776,0.0,top
J3,163.89176,-103.20776,0.0,top
LED,163.91676,-17.00776,90.0,bottom
LM393DR1,163.91676,-65.90776,270.0,bottom
LM393DR10,150.91676,-131.146766,112.5,bottom
LM393DR11,139.91676,-123.90776,135.0,bottom
LM393DR12,132.66676,-112.90776,157.5,bottom
LM393DR13,130.16676,-99.90776,180.0,bottom
LM393DR14,132.66676,-86.90776,202.5,bottom
LM393DR15,140.066275,-76.001352,225.0,bottom
LM393DR16,151.01676,-68.60776,247.5,bottom
LM393DR17,163.91676,-31.40776,0.0,bottom
LM393DR18,163.91676,-168.40776,180.0,bottom
LM393DR2,176.91676,-68.65776,292.5,bottom
LM393DR3,187.66676,-76.15776,315.0,bottom
LM393DR4,195.16676,-86.939652,337.5,bottom
LM393DR5,197.66676,-99.90776,0.0,bottom
LM393DR6,195.16676,-112.90776,22.5,bottom
LM393DR7,187.66676,-123.65776,45.0,bottom
LM393DR8,176.91676,-131.15776,67.5,bottom
LM393DR9,164.03176,-133.62776,90.0,bottom
NJL7502,163.91676,-23.00776,270.0,bottom
NJL7502R1,163.91676,-49.40776,270.0,bottom
NJL7502R10,213.50331,-109.744323,11.25,bottom
NJL7502R11,210.61676,-119.20776,22.5,bottom
NJL7502R12,205.91676,-128.00776,33.75,bottom
NJL7502R13,199.71676,-135.60776,45.0,bottom
NJL7502R14,192.01676,-141.90776,56.25,bottom
NJL7502R15,183.21676,-146.60776,67.5,bottom
NJL7502R16,173.81676,-149.40776,78.75,bottom
NJL7502R17,163.91676,-150.40776,90.0,bottom
NJL7502R18,154.11676,-149.50776,101.25,bottom
NJL7502R19,144.51676,-146.60776,112.5,bottom
NJL7502R2,173.81676,-50.30776,281.25,bottom
NJL7502R20,135.91676,-141.90776,123.75,bottom
NJL7502R21,128.211735,-135.612785,135.0,bottom
NJL7502R22,121.91676,-128.00776,146.25,bottom
NJL7502R23,117.263476,-119.20776,157.5,bottom
NJL7502R24,114.41676,-109.80776,168.75,bottom
NJL7502R25,113.41676,-99.90776,180.0,bottom
NJL7502R26,114.40331,-90.044323,191.25,bottom
NJL7502R27,117.31676,-80.60776,202.5,bottom
NJL7502R28,121.91676,-71.80776,213.75,bottom
NJL7502R29,128.21676,-64.20776,225.0,bottom
NJL7502R3,183.31676,-53.20776,292.5,bottom
NJL7502R30,135.91676,-57.90776,236.25,bottom
NJL7502R31,144.61676,-53.20776,247.5,bottom
NJL7502R32,154.11676,-50.30776,258.75,bottom
NJL7502R33,134.11676,-5.80776,330.0,bottom
NJL7502R34,141.81676,-14.90776,310.0,bottom
NJL7502R35,152.074545,-20.947174,290.0,bottom
NJL7502R37,175.71676,-20.90776,250.0,bottom
NJL7502R38,186.11676,-14.90776,230.0,bottom
NJL7502R39,193.76676,-5.713978,210.0,bottom
NJL7502R4,192.01676,-57.90776,303.75,bottom
