Designator,Mid X,Mid Y,Rotation,Layer
12V1,128.25,-95.725,0.0,top
12V2,113.5,-104.15,270.0,top
12V3,113.5,-94.25,270.0,top
3.3V1,163.45,-95.725,0.0,top
3.3V2,172.25,-95.725,0.0,top
5V1,137.05,-95.725,0.0,top
5V2,145.85,-95.725,0.0,top
5V3,154.65,-95.725,0.0,top
C1,117.2,-86.2,0.0,top
C2,166.0,-86.35,270.0,top
C3,130.5,-123.9,0.0,top
C4,166.0,-82.55,90.0,top
C5,178.5,-114.45,270.0,top
Fuse,150.45,-132.6,0.0,top
ON/OFF1,187.5,-94.9,90.0,top
ON/OFF2,187.5,-104.35,90.0,top
R1,128.2,-89.7,0.0,top
R10,144.99,-87.3,180.0,top
R12,156.89,-80.9,180.0,top
R2,144.99,-84.1,0.0,top
R3,145.0,-80.9,0.0,top
R4,156.9,-87.3,0.0,top
R5,156.9,-84.1,180.0,top
R8,144.99,-90.5,0.0,top
R9,156.89,-90.5,180.0,top
U1,121.3,-86.22,0.0,top
U2,169.1,-75.4,270.0,top
Vin1,113.5,-114.05,270.0,top
Vin2,187.4,-113.95,90.0,top
Voltmeter,173.5,-127.3,45.0,top
